"Route","Yeartaken","PeakAm","PeakAmVolume","PeakPm","PeakPmVolume","AADT"
"M06",2011,"11:00:00",734.623268698061,"19:00:00",942.487534626039,13786.0055401662
"N17",2011,"11:00:00",1227.19726027397,"19:00:00",1317.13150684931,21133.8739726027
"N18",2011,"11:00:00",664.526923076923,"19:00:00",614.584615384615,11133.8538461538
"N59",2011,"11:00:00",217.563829787234,"19:00:00",167.719858156028,3086.46808510638
"M06",2012,"11:00:00",719.542056074766,"19:00:00",923.158878504673,13570.2710280374
"N17",2012,"11:00:00",1198.68468468468,"19:00:00",1314.1981981982,21014.481981982
"N18",2012,"11:00:00",567.128440366972,"19:00:00",550.385321100917,10180.9816513761
"N59",2012,"11:00:00",203.536231884058,"19:00:00",158.314009661836,2911.88405797101
"M06",2013,"08:00:00",1080,"17:00:00",1410,32639.4010989011
"N17",2013,"11:00:00",1170,"17:00:00",1541,40289.3851132686
"N18",2013,"11:00:00",986,"17:00:00",1387,32472.1294498382
"N59",2013,"11:00:00",447,"17:00:00",593,13473.8673139159
"N84",2013,"08:00:00",880,"17:00:00",1084,22801.5566343042
"M06",2014,"08:00:00",286,"17:00:00",204,4679.04261363636
"M06",2014,"08:00:00",1055,"17:00:00",1368,31219.3288043478
"N17",2014,"11:00:00",1188,"17:00:00",1582,41250.1114130435
"N18",2014,"11:00:00",1085,"17:00:00",1504,35781.152173913
"N59",2014,"11:00:00",438,"17:00:00",579,13453.3152173913
"N84",2014,"08:00:00",881,"17:00:00",1089,22900.9211956522
"M06",2015,"08:00:00",308,"17:00:00",223,5077.25815217391
"M06",2015,"08:00:00",930,"17:00:00",1315,24479.4864130435
"N17",2015,"11:00:00",1213,"17:00:00",1586,41677.1222826087
"N18",2015,"11:00:00",1131,"17:00:00",1553,37176.9402173913
"N59",2015,"11:00:00",448,"17:00:00",584,13816.4701086957
"N84",2015,"08:00:00",881,"17:00:00",1110,23354.2554347826
"M06",2016,"08:00:00",296,"17:00:00",232,5260.08672086721
"M06",2016,"08:00:00",1288,"17:00:00",1645,38362.0894308943
"N17",2016,"11:00:00",1244,"17:00:00",1620,42953.0135501355
"N18",2016,"11:00:00",1177,"17:00:00",1607,38615.7804878049
"N59",2016,"11:00:00",294,"17:00:00",349,8791.89701897019
"N84",2016,"08:00:00",885,"17:00:00",1155,24202.4444444444
